14th St/8th Ave,5972,35018,40990,17.0540864698
14th St/6th Ave,2360,46877,49237,5.0344518634
Union Square,3499,104501,108000,3.3482933178
3rd Ave,1291,5241,6532,24.6327036825
1st Ave,5078,17358,22436,29.2545224104
Bedford Ave,6968,16857,23825,41.3359435249
Lorimer St,2461,10883,13344,22.613250023
Graham Ave,1866,8023,9889,23.258132868
Grand St,681,6490,7171,10.4930662558
Montrose Ave,1445,5007,6452,28.8595965648
Morgan Ave,2188,4633,6821,47.2264191668
Jefferson St,1449,4502,5951,32.1856952466
DeKalb Ave,1261,9743,11004,12.9426254747
Myrtle-Wyckoff,2747,14790,17537,18.5733603786
Halsey St,1083,5821,6904,18.6050506786
Wilson Ave,530,3036,3566,17.4571805007
Bushwick â€“ Aberdeen,349,1022,1371,34.1487279843
Broadway Junction,59,8731,8790,0.6757530638
Atlantic Ave,343,1144,1487,29.9825174825
Sutter Ave,1172,3265,4437,35.8958652374
Livonia Ave,925,1983,2908,46.6464952093
New Lots Ave,1360,3115,4475,43.6597110754
East 105th St,585,3142,3727,18.6187141948
Canarsie-Rockaway Pkwy,815,12224,13039,6.6672120419
